topology,n_peers,greedy_cost_J,random_cost_J,ratio
star,10,8.842226131102546e-18,8.842226131102546e-18,1.0
star,25,2.365973422925743e-17,2.365973422925743e-17,1.0
star,50,4.8630405226150246e-17,4.8630405226150246e-17,1.0
ring,10,8.842226131102546e-18,8.842226131102546e-18,1.0
ring,25,2.365973422925743e-17,2.365973422925743e-17,1.0
ring,50,4.8630405226150246e-17,4.8630405226150246e-17,1.0
mesh,10,8.842226131102546e-18,8.842226131102546e-18,1.0
mesh,25,2.365973422925743e-17,2.365973422925743e-17,1.0
mesh,50,4.8630405226150246e-17,4.8630405226150246e-17,1.0
erdos_renyi,10,8.842226131102546e-18,8.842226131102546e-18,1.0
erdos_renyi,25,2.365973422925743e-17,2.365973422925743e-17,1.0
erdos_renyi,50,4.8630405226150246e-17,4.8630405226150246e-17,1.0
